,Country,Year,overallreadiness,socialreadiness,economicreadiness,governmentreadiness
91,Italy,2000,0.028590735,0.452077202,0.359080919,0.669439952
92,Japan,2000,0.164103277,0.644988191,0.503400523,0.735245633
93,Lao PDR,2000,-0.061735548,0.206188922,0.330294798,0.312985611
94,Malaysia,2000,-3.09e-06,0.224888272,0.398175582,0.569644164
95,Myanmar,2000,-0.073611611,0.122993419,0.492702978,0.185147625
96,Philippines,2000,-0.045340756,0.204282281,0.313275977,0.404022779
97,Singapore,2000,0.086596162,0.528176816,0.516626578,0.848687401
98,Thailand,2000,0.040797892,0.238167717,0.430365467,0.566563343
99,United Kingdom,2000,0.168541208,0.564959663,0.479379672,0.846566196
100,United States,2000,0.127979078,0.577528999,0.522558853,0.810609964
101,Viet Nam,2000,-0.002603175,0.207668944,0.383879773,0.437533118
102,Brunei Darussalam,2001,-0.199402308,0.208590655,0.522558853,0.654014405
103,Cambodia,2001,-0.053918844,0.198675985,0.31385948,0.350865616
104,Canada,2001,0.128460715,0.503352879,0.485895449,0.834081371
105,France,2001,0.124301793,0.586952398,0.455845074,0.730891669
106,Germany,2001,0.163859477,0.605914743,0.475100654,0.823881432
107,Indonesia,2001,-0.004898896,0.251628076,0.503789524,0.309122098
108,Italy,2001,0.025903957,0.464332672,0.359080919,0.662839575
109,Japan,2001,0.158576455,0.657532315,0.503400523,0.715161161
110,Lao PDR,2001,-0.060832776,0.209350625,0.330294798,0.314192711
111,Malaysia,2001,0.008150094,0.238274414,0.398175582,0.581623225
112,Myanmar,2001,-0.072471374,0.127807799,0.492702978,0.185404274
113,Philippines,2001,-0.04247116,0.207828713,0.313275977,0.410599699
114,Singapore,2001,0.092734208,0.533178824,0.516626578,0.85216183
115,Thailand,2001,0.037948387,0.249308369,0.430365467,0.551808338
116,United Kingdom,2001,0.160272008,0.572441297,0.479379672,0.833419616
117,United States,2001,0.121489101,0.58397599,0.522558853,0.796078967
118,Viet Nam,2001,-0.006295225,0.206693926,0.383879773,0.42953045
119,Brunei Darussalam,2002,-0.211280186,0.209929919,0.522558853,0.650788873
120,Cambodia,2002,-0.055876611,0.199319409,0.31385948,0.345391051
121,Canada,2002,0.125660738,0.505359958,0.485895449,0.834306692
122,France,2002,0.11868808,0.589616386,0.455845074,0.725961718
123,Germany,2002,0.163246802,0.618197354,0.475100654,0.821139473
124,Indonesia,2002,-0.009837045,0.253030096,0.503789524,0.296243021
125,Italy,2002,0.023610358,0.473903321,0.359080919,0.656239198
126,Japan,2002,0.152975992,0.67062146,0.503400523,0.695076689
127,Lao PDR,2002,-0.059536545,0.213687127,0.330294798,0.315399812
128,Malaysia,2002,0.014906627,0.255541198,0.398175582,0.593602286
129,Myanmar,2002,-0.073041394,0.127712276,0.492702978,0.185660922
130,Philippines,2002,-0.040132006,0.209869986,0.313275977,0.41717662
131,Singapore,2002,0.098756135,0.576065873,0.516626578,0.85563626
